customerSubtype,numberOfHouses,avgSizeHousehold,avgAge,customerMainType,romanCatholic,protestant,otherReligion,noReligion,married,livingTogether,otherRelation,singles,householdWithoutChildren,householdWithChildren,highLevelEducation,mediumLevelEducation,lowerLevelEducation,highStatus,entrepreneur,farmer,middleManagement,skilledLabourers,unskilledLabourers,socialClassA,socialClassB1,socialClassB2,socialClassC,socialClassD,rentedHouse,homeOwners,oneCar,twoCars,noCar,nationalHealthService,privateHealthInsurance,incomeLessThan30k,income30To45k,income45To75k,income75To122k,incomeAbove123k,averageIncome,purchasingPowerClass,contributionPrivateThirdPartyInsurance,contributionThirdPartyInsuranceFirms,contributionThirdPartyInsuranceAgriculture,contributionCarPolicies,contributionDeliveryVanPolicies,contributionMotorcycleScooterPolicies,contributionLorryPolicies,contributionTrailerPolicies,contributionTractorPolicies,contributionAgriculturalMachinesPolicies,contributionMopedPolicies,contributionLifeInsurances,contributionPrivateAccidentInsurancePolicies,contributionFamilyAccidentsInsurancePolicies,contributionDisabilityInsurancePolicies,contributionFirePolicies,contributionSurfboardPolicies,contributionBoatPolicies,contributionBicyclePolicies,contributionPropertyInsurancePolicies,contributionSocialSecurityInsurancePolicies,numberOfPrivateThirdPartyInsurance,numberOfThirdPartyInsuranceFirms,numberOfThirdPartyInsuranceAgriculture,numberOfCarPolicies,numberOfDeliveryVanPolicies,numberOfMotorcycleScooterPolicies,numberOfLorryPolicies,numberOfTrailerPolicies,numberOfTractorPolicies,numberOfAgriculturalMachinesPolicies,numberOfMopedPolicies,numberOfLifeInsurances,numberOfPrivateAccidentInsurancePolicies,numberOfFamilyAccidentsInsurancePolicies,numberOfDisabilityInsurancePolicies,numberOfFirePolicies,numberOfSurfboardPolicies,numberOfBoatPolicies,numberOfBicyclePolicies,numberOfPropertyInsurancePolicies,numberOfSocialSecurityInsurancePolicies,target
Mixed small town dwellers,1,2,60-70 years,Family with grown ups,1 - 10%,4,1,4,7,1,2,4,4,2,0,6,3,0,0,0,9,0,0,0,3,4,3,0,9,0,6,2,1,5,4,6,0,3,0,0,3,4,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Family starters,2,2,60-70 years,Average Family,11 - 23%,4,4,0,5,0,4,4,2,3,2,3,4,4,0,0,2,0,4,4,2,0,0,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Dinki's (double income no kids),1,3,30-40 years,Driven Growers,0%,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,0,0,9,7,2,0,7,2,0,6,3,0,0,4,6,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Mixed small town dwellers,1,3,40-50 years,Family with grown ups,0%,5,0,4,7,2,0,0,3,6,3,5,2,1,0,0,5,2,2,1,3,3,2,1,8,1,9,0,0,5,4,2,3,3,2,0,5,4,f 1 - 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Village families,1,3,50-60 years,Family with grown ups,0%,9,0,0,9,0,0,0,6,3,0,6,3,4,0,0,4,0,3,3,0,4,3,0,4,6,9,0,0,6,4,3,4,4,0,0,4,5,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Couples with teens 'Married with children',1,3,40-50 years,Family with grown ups,1 - 10%,5,1,3,6,1,2,2,4,4,2,2,6,2,1,1,2,3,2,2,1,2,4,2,6,3,6,1,3,7,2,3,4,2,1,0,3,3,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Young, low educated",1,2,40-50 years,Living well,0%,7,0,2,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,2,1,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,2,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"High Income, expensive child",1,3,50-60 years,Successful hedonists,11 - 23%,2,2,5,7,1,2,2,4,4,5,3,2,8,1,0,0,0,0,7,0,2,0,0,0,9,3,5,2,2,7,0,2,5,2,1,6,8,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Village families,1,3,40-50 years,Family with grown ups,0%,4,0,5,5,2,3,2,2,6,0,4,5,0,0,0,4,4,1,0,0,2,7,1,1,8,6,2,2,8,1,4,1,0,4,0,5,5,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
"Young, low educated",1,2,40-50 years,Living well,24 - 36%,1,1,5,3,2,5,5,4,2,0,8,1,1,0,0,5,2,2,1,2,6,2,0,2,7,5,2,2,8,1,4,5,1,0,0,2,2,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Young, low educated",1,3,40-50 years,Living well,0%,9,0,0,9,0,0,0,4,5,1,0,8,0,0,1,2,3,3,1,0,1,6,2,6,3,5,0,4,7,2,3,5,1,1,0,3,2,f 0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Mixed seniors,1,3,40-50 years,Retired and Religeous,0%,7,1,1,7,1,2,2,3,5,1,3,5,2,1,0,4,3,1,2,2,1,5,1,3,6,6,2,2,5,4,3,3,3,0,0,4,1,f 50 - 99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Mixed apartment dwellers,1,2,30-40 years,Living well,0%,6,1,2,1,2,6,3,5,1,2,6,2,1,0,0,4,1,3,1,3,4,2,0,9,0,5,1,3,5,4,3,2,5,0,0,4,2,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Lower class large families,1,3,40-50 years,Family with grown ups,0%,5,1,3,7,1,2,2,3,4,2,3,4,3,1,1,2,2,3,3,1,3,3,1,2,7,7,2,1,5,4,2,4,3,1,1,4,3,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Career and childcare,2,3,30-40 years,Driven Growers,11 - 23%,5,0,3,9,0,0,3,3,4,7,2,0,9,0,0,0,0,0,0,6,3,0,0,0,9,7,2,0,2,7,3,6,0,0,0,3,8,f 0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Lower class large families,1,3,40-50 years,Family with grown ups,1 - 10%,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,f 50 - 99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,0%,5,0,5,9,0,0,0,9,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,9,0,9,0,0,5,5,0,9,0,0,0,3,3,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Mixed seniors,1,3,40-50 years,Retired and Religeous,0%,6,0,3,7,0,2,0,5,4,2,4,4,2,2,0,3,3,2,3,2,0,4,0,2,7,7,2,0,2,7,0,5,4,0,0,4,1,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Low income catholics,1,3,30-40 years,Retired and Religeous,11 - 23%,2,0,5,6,1,3,2,2,6,0,3,6,1,0,2,0,4,4,0,0,5,4,1,7,2,6,0,3,9,0,7,2,0,0,0,2,1,f 0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Family starters,1,2,40-50 years,Average Family,0%,3,0,6,3,2,4,3,2,5,3,4,4,0,2,0,4,2,3,3,2,0,5,0,7,2,5,2,2,5,4,2,4,4,0,0,4,6,f 0,0,4,6,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,No
"Large family, employed child",1,3,40-50 years,Family with grown ups,0%,2,2,5,7,0,2,0,2,7,0,4,5,0,0,0,0,9,0,0,0,0,9,0,9,0,5,0,4,9,0,4,5,0,0,0,3,6,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Traditional families,1,2,50-60 years,Conservative families,1 - 10%,5,2,1,6,1,3,3,4,3,2,5,3,2,0,0,5,1,2,1,2,2,4,1,7,2,5,1,3,6,3,5,2,2,1,0,3,4,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Affluent young families,1,3,30-40 years,Average Family,37 - 49%,1,0,5,6,3,0,0,4,5,5,3,2,5,0,0,3,1,2,4,3,1,2,0,0,9,6,3,0,2,7,0,3,4,3,1,7,7,f 50 - 99,0,0,5,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,No
"High Income, expensive child",1,2,50-60 years,Successful hedonists,1 - 10%,4,2,3,7,1,1,0,6,3,4,5,0,8,0,0,0,0,1,6,3,0,0,0,0,9,6,3,0,3,6,0,0,1,8,0,0,8,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Etnically diverse,1,3,40-50 years,Living well,11 - 23%,1,1,6,5,3,2,1,3,5,1,3,5,1,1,0,2,4,3,1,1,2,6,1,8,1,5,1,4,6,3,4,3,3,1,0,3,3,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Stable family,1,3,40-50 years,Average Family,11 - 23%,3,0,5,7,2,0,0,4,5,1,6,3,2,0,0,3,2,3,1,2,4,4,0,8,1,9,0,0,6,3,1,2,6,1,0,5,8,f 50 - 99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,No
Stable family,1,3,40-50 years,Average Family,11 - 23%,3,0,5,7,2,0,0,4,5,1,6,3,2,0,0,3,2,3,1,2,4,4,0,8,1,9,0,0,6,3,1,2,6,1,0,5,8,f 0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,No
High status seniors,1,2,40-50 years,Successful hedonists,0%,4,0,5,5,2,3,2,4,4,3,3,4,6,0,0,2,0,2,3,2,2,2,2,4,5,5,2,3,6,3,3,3,3,1,0,4,6,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Young all american family,1,3,30-40 years,Average Family,0%,4,0,5,8,1,1,1,4,5,5,3,1,6,0,0,2,1,1,5,1,4,1,1,9,0,7,0,2,4,5,1,2,6,0,0,5,6,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Lower class large families,1,3,40-50 years,Family with grown ups,0%,6,1,2,6,0,3,2,3,5,1,2,6,1,0,1,4,2,4,1,2,2,5,2,2,7,7,0,2,7,2,0,4,5,0,0,4,3,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Career and childcare,2,3,40-50 years,Driven Growers,1 - 10%,4,0,4,7,0,2,2,2,6,3,4,3,4,0,2,3,0,1,4,2,3,1,0,0,9,7,2,0,4,5,2,3,3,2,1,6,8,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Large family, employed child",2,2,50-60 years,Family with grown ups,0%,3,2,5,5,2,3,3,5,3,0,3,6,1,0,5,1,3,2,1,2,4,3,2,5,4,4,5,1,7,2,2,5,1,2,0,4,6,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Young, low educated",1,2,30-40 years,Living well,0%,3,1,5,3,4,2,1,7,1,0,4,5,0,0,0,4,2,3,0,3,2,4,0,7,2,4,1,4,9,0,3,5,2,0,0,3,2,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Large religous families,1,3,30-40 years,Conservative families,0%,5,0,4,5,1,3,2,1,7,1,4,5,1,1,0,2,3,3,1,3,1,4,1,7,2,5,1,4,7,2,3,5,2,0,0,3,5,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Lower class large families,1,3,40-50 years,Family with grown ups,1 - 10%,4,2,3,7,1,1,1,4,4,1,2,7,2,1,1,1,4,2,2,1,2,5,1,2,7,4,4,2,7,2,3,3,3,0,1,4,3,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes
Young urban have-nots,2,2,40-50 years,Living well,0%,3,2,5,4,0,5,6,2,2,0,2,7,0,0,0,4,0,5,0,1,0,4,4,5,4,3,0,6,7,2,6,3,0,0,0,1,2,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
"Large family, employed child",2,2,50-60 years,Family with grown ups,0%,3,2,5,5,2,3,3,5,3,0,3,6,1,0,5,1,3,2,1,2,4,3,2,5,4,4,5,1,7,2,2,5,1,2,0,4,6,f 50 - 99,0,0,5,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,No
"Large family, employed child",2,2,50-60 years,Family with grown ups,0%,3,2,5,5,2,3,3,5,3,0,3,6,1,0,5,1,3,2,1,2,4,3,2,5,4,4,5,1,7,2,2,5,1,2,0,4,6,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
"Large family, employed child",1,3,30-40 years,Family with grown ups,0%,7,0,2,7,2,0,0,4,5,0,2,7,0,2,0,2,4,2,0,0,4,5,0,2,7,5,4,0,9,0,0,5,4,0,0,4,6,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Modern, complete families",1,4,40-50 years,Average Family,1 - 10%,4,1,4,7,1,2,0,3,6,4,3,3,0,0,0,9,0,0,3,0,6,0,0,0,9,6,2,1,5,4,0,3,2,2,2,8,4,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
"Young, low educated",1,3,40-50 years,Living well,1 - 10%,4,1,4,6,0,3,2,2,5,1,4,5,2,1,1,3,3,2,2,2,2,4,1,3,6,6,1,2,6,3,3,2,3,1,1,4,2,f 0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Couples with teens 'Married with children',1,3,50-60 years,Family with grown ups,0%,6,0,3,7,0,2,0,3,6,0,3,6,2,1,2,1,3,3,1,0,4,5,0,1,8,7,2,0,7,2,4,3,3,0,0,3,3,f 0,0,4,7,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,No
Low income catholics,1,2,40-50 years,Retired and Religeous,0%,2,2,5,5,2,2,2,3,4,0,3,6,1,0,1,1,1,7,1,1,3,5,1,8,1,4,2,3,7,2,4,5,1,0,0,2,1,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Lower class large families,2,3,40-50 years,Family with grown ups,0%,6,1,3,7,0,2,1,3,6,1,2,7,1,0,1,3,3,4,1,2,1,6,1,1,8,8,0,1,8,1,0,2,7,0,0,4,3,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Large religous families,2,5,40-50 years,Conservative families,0%,6,0,3,9,0,0,0,3,6,0,4,5,0,0,0,3,6,0,0,2,3,5,0,3,6,9,0,0,9,0,6,0,3,0,0,3,5,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Young all american family,1,3,30-40 years,Average Family,1 - 10%,3,2,4,7,1,2,1,2,6,3,5,1,3,0,0,5,1,1,2,2,4,3,0,6,3,7,1,2,5,4,3,3,4,1,0,4,6,f 1 - 49,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Traditional families,1,3,40-50 years,Conservative families,0%,3,3,4,6,1,2,1,2,7,0,3,6,0,0,0,2,2,6,0,1,1,7,1,9,0,7,0,2,7,2,6,3,1,0,0,2,4,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Young all american family,1,3,40-50 years,Average Family,1 - 10%,5,1,3,7,2,1,1,3,5,4,4,2,3,1,1,4,2,1,3,3,2,2,1,1,8,6,3,1,5,4,2,4,4,1,0,4,6,f 0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,No
Mixed seniors,1,2,40-50 years,Successful hedonists,0%,5,1,4,5,1,4,3,2,5,2,3,4,3,1,0,1,4,2,3,1,2,4,1,3,6,6,1,3,6,3,3,5,1,2,0,4,3,f 0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Religious elderly singles,1,3,40-50 years,Retired and Religeous,0%,4,1,4,6,1,3,1,4,5,1,3,5,3,0,1,4,1,2,1,2,4,3,1,2,7,4,0,5,7,2,2,2,2,4,1,6,2,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Village families,1,2,50-60 years,Family with grown ups,0%,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,5,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Young and rising,1,2,30-40 years,Living well,0%,3,1,5,3,4,2,1,7,1,0,4,5,0,0,0,4,2,3,0,3,2,4,0,7,2,4,1,4,9,0,3,5,2,0,0,3,3,f 50 - 99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Traditional families,1,3,30-40 years,Conservative families,0%,5,0,4,5,1,3,3,2,5,1,4,4,2,1,0,3,3,2,1,2,2,4,1,7,2,5,1,4,7,2,3,5,2,0,0,3,4,f 50 - 99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Middle class families,2,3,40-50 years,Driven Growers,0%,5,2,3,7,1,2,2,3,5,3,4,3,4,0,0,4,1,0,4,2,2,2,0,1,8,8,0,1,6,3,0,5,4,0,0,4,7,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Young all american family,1,4,30-40 years,Average Family,0%,7,0,2,7,2,0,1,1,8,2,3,5,1,0,0,7,2,1,0,3,2,5,0,0,9,9,0,0,6,3,2,4,4,0,0,4,6,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Young, low educated",1,2,50-60 years,Living well,11 - 23%,4,1,4,4,1,5,5,2,3,3,2,4,2,0,0,3,2,2,2,1,2,4,1,8,1,6,0,3,6,3,5,3,2,0,1,3,2,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Middle class families,1,4,40-50 years,Driven Growers,1 - 10%,5,1,3,7,1,2,0,3,6,3,5,1,3,1,0,4,1,2,3,3,2,2,1,1,8,7,0,2,5,4,1,3,5,1,1,5,7,f 50 - 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Young all american family,2,3,30-40 years,Average Family,1 - 10%,2,2,5,7,2,1,1,4,5,4,5,1,3,0,0,5,2,1,5,3,1,2,0,7,2,7,1,2,5,4,1,4,5,1,0,4,6,f 1 - 49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
Large religous families,1,3,40-50 years,Conservative families,0%,4,1,4,7,0,2,2,3,5,0,2,7,0,0,3,0,3,3,2,0,2,3,4,3,6,5,2,3,7,2,5,4,0,0,0,2,5,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
"Modern, complete families",1,2,50-60 years,Average Family,0%,5,3,2,4,1,4,4,2,4,1,4,4,1,1,0,5,2,1,1,2,3,4,1,9,0,5,0,4,5,4,3,4,4,0,0,4,4,f 0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Mixed seniors,1,1,50-60 years,Retired and Religeous,0%,3,1,5,5,2,3,9,0,0,0,3,6,5,0,0,0,0,5,0,2,3,0,5,5,4,6,1,2,8,1,6,3,0,0,0,2,1,f 50 - 99,0,0,6,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,No
Very Important Provincials,1,3,40-50 years,Successful hedonists,11 - 23%,4,2,2,9,0,0,0,4,5,5,4,1,5,4,0,1,0,1,8,1,0,1,0,0,9,3,6,0,1,8,1,3,4,2,2,6,6,f 100 - 199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No
Middle class families,1,4,30-40 years,Driven Growers,11 - 23%,3,3,2,9,0,0,0,0,9,2,3,4,2,0,0,6,2,0,0,2,4,4,0,2,7,9,0,0,9,0,0,0,4,5,0,8,7,f 0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
Young all american family,1,3,50-60 years,Average Family,0%,2,4,4,7,0,2,4,0,5,4,0,5,2,0,0,4,1,3,0,0,5,3,3,9,0,7,0,2,6,3,6,0,3,0,0,3,6,f 0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Family starters,1,3,30-40 years,Average Family,1 - 10%,4,0,5,6,2,1,2,3,5,3,6,0,2,0,0,5,1,1,2,3,4,1,0,2,7,7,2,0,5,4,1,0,5,3,0,6,6,f 50 - 99,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,No
Middle class families,1,3,30-40 years,Driven Growers,0%,3,4,2,9,0,0,0,3,6,5,3,2,7,0,0,2,0,1,7,1,1,2,0,0,9,5,4,0,2,7,0,2,4,1,3,8,7,f 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Porchless seniors: no front yard,1,3,40-50 years,Retired and Religeous,11 - 23%,3,2,4,5,2,3,1,3,5,1,1,8,1,0,0,7,1,1,0,1,1,5,3,1,8,5,2,3,6,3,1,7,1,1,1,3,3,f 50 - 99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
