Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,target
F,Ship,4,5,149,3,low,M,9,4953,Yes
C,Ship,5,5,304,5,low,F,8,1949,Yes
F,Road,6,5,247,6,medium,M,3,4832,No
C,Flight,5,4,217,2,low,M,2,5469,Yes
B,Ship,5,1,245,5,low,M,9,1694,Yes
C,Ship,3,3,143,3,low,M,64,1630,Yes
A,Road,3,4,250,2,high,M,61,3207,Yes
C,Ship,4,4,223,4,low,M,1,4219,No
F,Ship,5,3,234,6,medium,F,8,5003,No
F,Flight,7,2,250,5,medium,M,9,1327,No
A,Ship,4,2,242,3,medium,M,10,4721,No
F,Road,4,3,176,2,low,F,6,5149,Yes
D,Road,4,5,244,2,medium,F,7,5325,Yes
F,Ship,3,4,181,4,medium,F,3,5163,Yes
C,Ship,4,4,158,3,medium,M,63,1387,Yes
D,Road,3,1,135,3,low,F,38,1829,Yes
A,Ship,4,5,137,2,low,M,6,4055,Yes
F,Ship,4,5,135,3,medium,F,6,5266,Yes
F,Flight,4,5,260,3,high,M,10,4919,No
B,Ship,2,3,247,2,medium,F,62,3127,Yes
F,Flight,5,4,235,4,low,M,5,4506,No
D,Road,3,2,188,3,low,M,4,5376,No
A,Ship,4,2,275,5,medium,M,5,1900,No
D,Road,3,4,260,5,low,M,2,4461,No
D,Ship,5,3,114,6,medium,F,60,1746,Yes
F,Ship,6,3,244,4,medium,M,5,1108,Yes
B,Ship,5,3,162,4,medium,M,38,1407,Yes
F,Flight,3,2,264,4,medium,M,1,4877,No
F,Ship,3,2,142,2,low,M,7,4082,No
D,Flight,5,2,215,2,medium,M,46,3942,Yes
D,Flight,3,4,183,2,low,M,5,4261,Yes
F,Ship,4,4,199,3,low,M,10,5002,Yes
B,Ship,3,1,242,3,medium,F,10,3606,Yes
D,Ship,3,1,172,10,high,F,30,1294,Yes
F,Ship,4,2,253,5,medium,F,3,1092,No
A,Road,5,1,179,3,low,F,62,1945,Yes
C,Ship,3,3,207,3,low,F,62,3277,Yes
C,Ship,5,5,236,3,medium,F,62,3365,Yes
C,Ship,3,3,209,3,low,M,1,5186,No
C,Ship,4,3,198,2,low,M,5,5724,Yes
F,Flight,3,1,164,3,medium,M,2,5488,No
B,Ship,3,5,233,2,medium,F,2,4193,No
F,Road,3,1,119,2,low,F,10,4146,Yes
A,Road,4,3,203,4,low,F,1,5274,No
D,Ship,4,2,210,3,low,M,5,4746,No
D,Ship,4,4,264,2,medium,F,12,2203,Yes
F,Ship,3,5,225,3,low,F,12,2721,Yes
B,Ship,4,3,232,5,low,F,9,1856,No
D,Ship,2,5,171,3,medium,F,13,1101,Yes
F,Ship,3,3,170,3,low,F,7,5427,Yes
F,Ship,5,5,269,5,low,F,6,1630,No
A,Ship,5,5,235,5,low,M,8,1332,Yes
F,Ship,4,4,198,2,low,M,6,5520,No
C,Flight,4,1,161,2,high,F,21,1075,Yes
A,Ship,4,5,217,3,medium,M,2,5461,Yes
F,Ship,4,4,224,2,high,F,31,2084,Yes
F,Ship,6,1,287,4,medium,M,5,1791,Yes
C,Flight,4,2,239,6,low,F,7,1934,No
D,Ship,3,1,294,4,low,F,25,1498,Yes
B,Road,5,2,260,6,high,M,10,4087,Yes
F,Ship,3,1,205,4,high,F,3,4426,No
D,Road,3,2,204,2,medium,F,35,2090,Yes
B,Ship,6,4,256,4,low,F,9,1676,No
F,Road,5,4,251,2,low,F,3,5347,Yes
D,Flight,5,2,193,2,low,F,1,2775,Yes
B,Flight,3,2,178,3,low,M,4,5119,Yes
A,Flight,5,3,224,5,low,M,5,1842,No
D,Flight,4,2,203,3,low,F,4,5699,No
C,Ship,5,1,149,2,low,M,9,5435,No
F,Ship,6,3,306,4,high,F,5,1261,Yes
B,Ship,6,1,170,3,low,F,10,4858,No
D,Ship,4,5,239,5,low,M,6,1336,No
C,Ship,3,1,152,3,low,M,1,4949,Yes
A,Ship,5,5,194,3,low,M,47,2256,Yes
B,Road,5,3,267,6,low,M,10,1027,No
D,Road,3,4,175,3,low,F,3,4449,No
C,Ship,4,1,255,5,medium,F,1,1918,Yes
F,Road,4,4,266,3,low,F,6,5758,Yes
C,Ship,4,3,260,4,low,F,5,5307,No
F,Flight,4,2,229,4,low,F,32,3518,Yes
F,Flight,6,3,266,4,low,F,9,1106,Yes
B,Flight,6,4,247,4,low,M,7,1831,No
B,Road,4,5,268,3,medium,M,9,5521,Yes
B,Ship,5,3,167,3,low,F,5,1772,Yes
A,Ship,2,5,252,3,medium,M,7,5281,No
B,Ship,5,4,226,6,low,M,1,1327,No
C,Ship,3,5,238,2,high,M,5,4052,No
C,Road,4,2,221,2,medium,M,54,3065,Yes
D,Ship,4,1,239,4,high,M,2,5502,No
F,Ship,3,4,251,10,medium,F,2,4336,Yes
D,Ship,6,4,243,6,low,M,8,5218,No
F,Ship,2,5,275,2,low,M,41,2546,Yes
F,Flight,4,3,205,2,medium,M,10,4178,Yes
C,Ship,4,3,226,6,medium,M,6,1704,Yes
B,Ship,5,4,199,4,low,F,7,5740,No
D,Ship,5,1,238,5,low,F,5,5854,No
F,Ship,4,2,263,3,medium,M,4,4935,Yes
C,Ship,4,1,141,3,low,F,6,5273,No
D,Ship,6,4,138,3,medium,F,4,4225,No
F,Road,5,1,206,4,low,M,62,1137,Yes
C,Ship,4,5,162,2,medium,F,9,5345,Yes
B,Ship,4,3,264,3,low,F,39,2213,Yes
D,Ship,5,2,185,3,low,M,10,4354,No
D,Ship,4,3,137,3,medium,M,5,4854,Yes
F,Flight,3,1,236,2,medium,F,8,5591,No
B,Flight,4,1,269,3,medium,F,23,3652,Yes
B,Flight,4,3,258,2,high,M,11,2252,Yes
D,Ship,5,1,275,4,medium,F,6,1569,No
C,Flight,6,3,269,4,low,F,4,1948,Yes
A,Ship,5,5,156,4,low,F,5,5987,Yes
B,Road,3,2,216,2,low,F,1,4350,Yes
D,Ship,7,4,285,4,medium,F,2,1017,Yes
A,Ship,4,2,273,5,medium,F,8,2000,No
F,Ship,3,1,139,2,medium,M,3,4226,No
C,Ship,6,2,146,3,low,F,62,1936,Yes
F,Ship,5,3,185,3,low,M,25,2503,Yes
F,Ship,2,2,177,4,low,M,8,5878,Yes
C,Ship,4,1,220,3,medium,F,6,4472,No
A,Ship,4,2,249,3,low,F,9,5459,Yes
F,Ship,3,2,223,4,low,F,20,3955,Yes
B,Ship,5,1,166,2,low,M,44,1647,Yes
C,Ship,2,2,135,3,low,M,15,1339,Yes
B,Ship,5,4,222,2,high,M,8,4996,Yes
F,Ship,6,5,283,4,low,M,3,1374,Yes
F,Ship,2,2,156,4,high,M,9,4184,Yes
A,Ship,3,1,150,2,low,M,9,1158,Yes
C,Ship,4,2,237,3,low,M,2,5277,No
D,Road,3,4,212,3,low,M,6,5935,Yes
D,Ship,4,2,238,3,low,F,28,1915,Yes
C,Flight,6,1,261,4,low,F,6,1703,Yes
D,Ship,5,3,255,4,medium,F,4,4178,Yes
A,Ship,4,4,102,3,high,F,9,5644,Yes
B,Road,3,5,139,2,medium,M,7,5536,No
F,Road,4,2,227,3,low,M,2,4318,Yes
A,Ship,4,5,195,2,low,M,2,4008,Yes
D,Flight,3,2,190,3,medium,M,18,2715,Yes
F,Ship,4,3,244,2,low,M,17,3125,Yes
A,Ship,5,3,239,5,low,M,10,1784,No
D,Ship,5,3,195,4,low,F,9,5577,No
F,Flight,2,1,226,2,medium,F,1,5576,No
D,Ship,5,1,154,2,low,M,37,1671,Yes
D,Road,3,5,163,3,low,M,5,4570,No
B,Ship,4,1,157,2,medium,F,7,4690,Yes
F,Flight,4,4,256,5,low,M,9,1622,Yes
F,Ship,5,3,173,3,low,M,5,5395,No
D,Ship,5,2,268,5,medium,F,2,1061,Yes
F,Flight,4,2,257,2,high,M,3,4108,Yes
F,Flight,5,4,233,3,low,M,6,4275,Yes
D,Flight,4,1,145,3,low,M,8,5127,No
B,Ship,5,1,158,2,medium,M,6,4873,No
F,Road,5,4,208,6,medium,M,8,5098,No
F,Ship,4,4,163,3,low,F,5,4440,No
F,Ship,5,3,175,3,medium,F,7,5047,Yes
F,Road,3,3,183,3,low,F,45,2181,Yes
B,Ship,7,2,254,4,low,M,6,1006,No
B,Ship,5,2,195,6,high,M,5,5339,Yes
D,Ship,4,5,251,5,medium,F,7,1381,No
C,Ship,5,4,235,4,low,M,10,4880,No
F,Road,4,1,154,10,high,M,10,5674,Yes
D,Ship,4,5,132,4,medium,F,28,1715,Yes
C,Flight,6,4,268,4,low,M,9,1793,No
C,Ship,5,3,148,3,low,M,7,4714,No
B,Ship,3,5,206,2,low,M,3,5113,Yes
F,Ship,4,3,143,2,medium,M,1,4402,Yes
F,Ship,3,5,286,6,medium,M,3,4424,No
C,Road,4,4,192,3,medium,M,39,2943,Yes
F,Road,3,1,148,2,medium,M,34,1053,Yes
F,Ship,5,1,136,3,medium,M,19,1420,Yes
F,Road,5,2,239,3,low,F,47,3673,Yes
F,Road,4,4,246,3,medium,M,5,5029,Yes
F,Flight,5,1,245,5,low,F,7,1092,No
D,Flight,4,5,229,3,medium,M,21,2688,Yes
A,Ship,3,2,148,2,low,F,1,4133,Yes
A,Ship,3,4,155,4,low,M,54,1885,Yes
D,Ship,4,5,272,2,medium,M,9,5055,Yes
D,Ship,4,2,236,3,low,F,1,4076,No
A,Ship,3,5,195,2,low,F,42,3814,Yes
B,Road,3,5,195,2,low,F,4,4864,No
A,Flight,3,5,254,3,low,M,6,4703,No
B,Ship,7,5,281,4,low,M,8,1987,Yes
F,Road,3,3,265,3,medium,F,3,5241,No
C,Ship,4,1,253,5,low,F,2,1362,No
D,Ship,3,4,148,3,medium,M,7,4531,No
F,Flight,5,4,182,3,medium,F,11,3545,Yes
C,Ship,4,3,142,2,medium,F,63,1615,Yes
B,Ship,3,4,135,3,low,M,22,1378,Yes
D,Ship,3,2,223,2,low,F,10,4604,No
D,Ship,5,3,243,6,medium,F,9,5640,No
B,Ship,5,2,199,4,low,F,59,2885,Yes
C,Flight,4,2,211,2,low,F,39,2520,Yes
A,Ship,3,2,222,4,medium,M,10,5720,No
A,Ship,4,1,226,5,medium,M,6,1723,No
C,Road,6,4,150,5,medium,F,8,4709,No
D,Ship,2,5,211,4,low,M,1,5673,No
F,Flight,5,2,102,5,medium,F,3,4784,No
B,Road,3,4,188,6,medium,F,6,4031,Yes
B,Flight,3,3,260,4,low,M,8,5595,Yes
F,Ship,2,4,154,3,medium,F,48,7684,Yes
F,Ship,3,5,228,4,medium,M,57,2243,Yes
F,Ship,3,2,185,4,low,M,6,5854,No
A,Ship,2,3,129,3,low,M,50,1111,Yes
A,Ship,5,4,177,2,low,M,14,1735,Yes
F,Flight,4,2,185,3,low,M,8,4322,Yes
D,Ship,3,4,185,2,low,M,4,5926,No
F,Road,5,1,303,5,medium,F,4,1009,No
B,Flight,3,5,202,4,medium,F,7,4458,No
C,Ship,3,3,204,2,medium,M,6,5612,No
C,Ship,2,1,142,3,medium,F,8,6064,Yes
A,Flight,5,3,143,2,medium,M,5,5612,Yes
B,Ship,5,5,180,5,medium,M,35,1725,Yes
D,Ship,5,2,174,3,medium,F,10,4902,Yes
D,Road,5,5,235,5,medium,F,10,1393,No
A,Flight,3,2,180,4,medium,M,52,1329,Yes
D,Ship,3,1,178,3,low,F,11,1481,Yes
F,Ship,3,5,243,3,medium,F,4,4130,Yes
D,Ship,4,4,168,3,low,F,35,1434,Yes
D,Ship,2,4,165,3,medium,M,7,5856,No
C,Flight,4,1,223,3,low,F,8,4974,Yes
F,Flight,3,4,155,3,medium,M,4,1548,Yes
D,Flight,6,1,126,3,medium,F,37,1697,Yes
B,Ship,3,5,250,4,low,F,11,3464,Yes
F,Road,6,4,287,4,medium,F,9,1936,Yes
F,Flight,4,1,173,3,low,F,4,4634,No
F,Flight,5,1,262,5,low,M,1,1488,Yes
F,Flight,5,1,170,4,medium,M,4,5113,Yes
B,Road,6,3,274,6,medium,F,1,4632,No
B,Flight,5,5,286,4,high,F,10,1071,Yes
A,Ship,3,4,179,4,low,F,44,1004,Yes
A,Ship,5,1,258,3,medium,F,8,5694,No
A,Ship,3,4,254,3,high,M,4,5830,Yes
A,Flight,6,3,233,6,low,F,9,4814,No
F,Ship,5,5,171,3,low,M,8,4227,No
F,Ship,2,1,222,2,medium,M,58,3626,Yes
B,Road,3,4,257,3,low,F,4,4883,No
D,Ship,4,2,220,3,low,M,3,5020,No
C,Flight,3,2,181,4,low,F,18,3696,Yes
C,Flight,2,4,168,3,low,F,15,1886,Yes
F,Flight,6,4,266,4,low,M,9,1253,Yes
F,Ship,3,4,162,2,medium,F,8,4972,No
F,Ship,4,2,192,2,low,M,9,4140,No
A,Ship,4,5,272,2,low,F,10,4962,No
D,Ship,2,1,166,3,medium,F,8,4255,Yes
F,Ship,5,3,172,3,medium,F,3,4056,No
A,Ship,2,5,265,2,low,F,50,3859,Yes
A,Ship,5,1,257,5,high,F,2,1323,No
D,Ship,6,4,256,4,high,M,2,5021,No
F,Road,3,4,191,3,medium,M,6,4586,Yes
F,Ship,4,3,153,3,medium,F,6,5748,No
A,Ship,5,5,135,4,low,M,8,5029,No
B,Flight,3,3,221,2,medium,F,5,4205,Yes
B,Ship,4,5,253,3,low,F,58,3096,Yes
F,Road,6,4,160,2,low,F,31,1689,Yes
C,Ship,4,3,197,2,low,M,7,5449,No
D,Ship,4,2,214,3,low,F,18,2574,Yes
F,Ship,2,5,195,3,low,M,3,5785,No
C,Road,6,1,250,3,low,M,5,5621,Yes
F,Ship,3,2,153,4,high,M,7,4750,Yes
C,Ship,2,2,190,3,low,M,51,2380,Yes
F,Ship,4,5,208,5,low,F,7,5833,No
F,Ship,6,4,152,3,low,M,10,4376,Yes
F,Ship,5,5,192,3,medium,M,3,4015,Yes
C,Flight,5,5,162,3,low,M,41,1462,Yes
F,Ship,4,1,197,3,low,F,6,5032,No
F,Road,3,5,241,3,medium,M,10,5099,Yes
D,Ship,3,3,208,5,low,F,10,4258,No
F,Ship,3,3,153,5,low,F,12,1972,Yes
F,Ship,4,2,124,2,medium,M,50,1592,Yes
F,Ship,5,2,134,2,low,M,9,5045,No
A,Ship,4,4,175,2,medium,F,7,1188,Yes
D,Ship,3,4,122,3,high,F,15,1354,Yes
F,Flight,3,2,270,4,high,M,29,3768,Yes
F,Flight,6,5,308,4,low,F,7,1078,No
C,Ship,4,4,252,4,medium,F,4,4832,No
D,Ship,4,4,221,3,medium,M,5,4024,No
C,Ship,3,5,198,4,low,F,10,4829,No
F,Ship,4,2,229,2,low,M,9,5026,No
C,Road,3,3,274,2,medium,F,59,3436,Yes
C,Ship,5,3,274,3,medium,F,54,2905,Yes
C,Road,3,1,108,6,medium,F,7,4024,No
B,Flight,4,1,171,2,low,M,3,4271,No
C,Ship,5,5,196,4,medium,M,8,4604,Yes
F,Road,4,2,189,10,medium,F,5,5470,No
C,Ship,3,4,188,4,medium,M,5,5216,Yes
D,Road,4,3,165,2,medium,M,10,4351,No
F,Ship,4,2,259,3,low,F,47,3764,Yes
F,Ship,4,1,137,4,high,M,15,1391,Yes
F,Flight,5,3,218,6,low,F,6,1519,Yes
C,Ship,2,5,255,5,medium,F,53,3775,Yes
F,Ship,5,1,165,3,low,F,27,1905,Yes
F,Ship,3,4,229,6,medium,F,3,5471,No
D,Road,3,4,204,3,low,F,49,3225,Yes
A,Ship,5,5,264,8,high,F,10,5759,Yes
F,Flight,3,3,220,3,low,F,2,5065,Yes
D,Ship,3,2,191,2,medium,M,7,5357,No
F,Ship,5,3,237,4,low,F,8,5432,No
C,Road,3,4,199,3,medium,M,1,4490,Yes
A,Ship,5,2,254,5,high,M,6,1491,Yes
A,Flight,4,2,166,3,low,M,5,1610,Yes
C,Ship,5,5,268,5,medium,F,10,1906,No
A,Ship,4,5,255,4,low,M,14,3099,Yes
F,Road,3,1,221,10,medium,M,10,5473,No
A,Ship,4,4,228,5,low,F,1,1788,Yes
A,Road,3,4,163,3,medium,M,5,5088,Yes
D,Ship,4,3,258,3,high,F,1,4653,No
F,Ship,3,2,213,3,medium,M,10,5993,Yes
A,Ship,6,5,287,5,low,M,2,5611,Yes
C,Ship,4,2,196,3,low,M,1,5172,Yes
C,Flight,3,2,273,3,high,M,8,5754,Yes
B,Road,5,1,274,2,high,F,8,4647,Yes
D,Road,3,5,243,2,medium,M,42,3421,Yes
D,Ship,6,5,256,4,low,F,2,1163,No
A,Road,4,2,232,5,medium,M,3,1197,No
D,Ship,4,4,266,6,low,F,2,1776,Yes
D,Ship,2,5,113,5,low,M,43,1638,Yes
F,Ship,4,5,241,4,medium,F,10,4126,Yes
D,Ship,6,1,145,3,medium,F,1,4346,Yes
D,Ship,4,5,258,2,medium,M,6,5062,Yes
F,Flight,6,2,293,4,low,F,4,1764,Yes
C,Ship,3,4,252,2,high,M,9,4278,No
F,Flight,4,4,225,5,low,F,1,1476,Yes
F,Ship,4,2,194,8,medium,M,10,5995,No
F,Road,4,1,206,3,low,F,4,4745,No
D,Ship,5,4,160,3,high,M,10,5527,No
F,Flight,5,5,132,3,low,M,3,4263,No
C,Ship,2,1,248,6,low,F,2,5182,No
C,Road,5,1,206,2,low,M,2,3490,Yes
B,Ship,3,5,168,3,low,F,5,1143,Yes
C,Ship,4,4,131,3,medium,F,10,4625,No
F,Flight,3,4,171,3,medium,F,5,4310,Yes
D,Ship,3,5,246,3,medium,F,2,5653,Yes
A,Ship,5,1,176,6,medium,M,9,4839,Yes
C,Ship,4,4,219,2,medium,M,7,4604,No
F,Road,4,5,225,4,low,M,48,2767,Yes
A,Ship,4,4,146,4,low,M,12,1899,Yes
D,Ship,4,1,179,4,medium,F,2,4071,Yes
C,Road,3,5,109,5,low,M,27,1581,Yes
A,Road,5,4,243,5,low,F,5,1118,No
B,Ship,7,3,306,4,low,F,4,1630,No
F,Ship,6,1,306,4,low,F,4,1449,Yes
D,Ship,5,1,184,3,low,F,10,4674,Yes
B,Ship,6,4,288,4,medium,F,9,1575,No
C,Ship,2,4,177,3,medium,M,48,1113,Yes
D,Ship,3,3,124,3,medium,M,59,1959,Yes
F,Flight,3,1,257,2,low,F,45,3496,Yes
B,Ship,2,4,144,2,medium,M,5,5867,No
F,Ship,6,4,257,4,medium,F,9,1108,Yes
A,Flight,5,1,199,10,medium,F,8,4140,No
F,Flight,4,4,242,2,medium,M,6,5866,No
F,Ship,4,3,164,2,low,F,3,1376,No
C,Flight,2,1,111,3,medium,M,16,1882,Yes
F,Road,3,3,153,3,low,F,3,4829,No
C,Flight,3,3,244,4,medium,M,10,5181,No
B,Ship,3,3,202,2,medium,M,39,3857,Yes
A,Ship,4,1,184,3,high,F,47,3081,Yes
F,Ship,4,2,246,4,medium,M,7,5056,Yes
C,Ship,5,4,254,5,low,M,10,1350,No
C,Road,4,2,190,4,medium,M,61,2077,Yes
B,Ship,3,1,231,3,medium,M,9,5148,Yes
D,Road,5,3,271,5,high,M,9,1813,Yes
B,Flight,2,4,181,4,medium,M,13,2309,Yes
B,Ship,3,3,281,2,medium,M,55,3047,Yes
A,Flight,6,2,196,2,low,M,10,5180,Yes
B,Road,4,4,206,3,medium,F,33,2804,Yes
F,Ship,5,2,219,4,low,F,7,4787,Yes
F,Ship,3,1,213,2,low,M,6,4747,No
A,Road,4,1,144,4,high,M,5,1294,Yes
B,Ship,4,5,170,3,low,M,2,5671,No
F,Ship,4,5,258,3,medium,F,37,2289,Yes
D,Ship,5,2,246,2,low,F,4,3617,Yes
A,Ship,7,3,296,4,medium,M,8,1826,Yes
F,Ship,6,4,264,4,low,M,1,1660,Yes
D,Ship,3,5,144,6,low,F,46,1110,Yes
F,Ship,4,5,174,2,low,M,10,5764,No
A,Ship,3,2,150,3,low,M,1,5825,No
F,Flight,2,4,274,10,high,M,3,4167,Yes
B,Ship,3,4,156,2,medium,F,10,5107,Yes
F,Ship,7,3,250,5,medium,F,4,1163,Yes
C,Ship,3,1,142,4,low,M,4,1583,Yes
F,Flight,3,5,190,3,medium,M,4,5069,No
A,Ship,6,3,175,5,medium,F,64,1860,Yes
F,Flight,3,5,102,6,medium,M,3,1341,Yes
C,Flight,4,4,139,2,high,F,9,4446,Yes
C,Ship,5,4,184,3,low,F,1,4208,Yes
F,Ship,2,4,204,10,low,F,4,4679,Yes
F,Flight,2,5,125,4,low,M,5,5866,No
C,Ship,4,2,260,2,low,M,7,5684,No
F,Ship,3,1,174,3,low,F,9,4380,Yes
D,Flight,3,5,217,3,low,M,9,4306,No
B,Road,3,2,260,2,low,M,7,5553,Yes
F,Ship,3,5,177,4,high,M,9,5311,No
B,Ship,2,3,243,5,medium,M,5,4750,Yes
D,Road,4,5,219,2,medium,F,28,2164,Yes
C,Ship,4,2,271,3,medium,M,4,4743,Yes
A,Ship,4,4,254,5,low,M,9,1654,Yes
F,Road,4,3,263,6,medium,M,8,1123,Yes
B,Flight,4,2,149,4,low,M,40,1102,Yes
A,Flight,5,2,162,4,medium,M,7,5477,Yes
D,Ship,4,1,245,3,low,F,5,4523,No
A,Road,4,4,178,4,medium,F,13,1614,Yes
F,Flight,4,5,250,5,medium,M,6,1662,No
F,Flight,5,4,254,3,low,F,4,5611,Yes
F,Ship,3,3,237,4,low,F,8,5761,No
A,Ship,4,2,267,5,low,M,3,1933,Yes
B,Ship,4,4,207,10,low,F,1,4602,No
C,Flight,5,2,214,2,low,F,8,4767,No
F,Road,3,3,242,3,low,F,8,4199,No
F,Flight,4,2,171,3,low,F,40,1021,Yes
F,Ship,3,4,177,4,medium,F,3,1148,No
C,Ship,3,5,181,4,high,F,1,4971,Yes
D,Ship,5,5,123,2,low,F,60,1653,Yes
C,Ship,4,2,223,3,medium,F,7,5977,No
F,Ship,2,5,235,3,high,F,10,5775,Yes
F,Road,7,4,244,4,medium,F,4,1953,Yes
F,Road,4,2,209,2,medium,F,9,5131,No
F,Ship,3,2,237,3,medium,F,10,5851,No
F,Ship,6,3,272,4,low,M,5,1355,Yes
B,Ship,5,1,241,4,medium,M,7,5519,Yes
A,Ship,4,2,210,3,medium,F,10,5354,No
F,Ship,3,3,137,3,medium,M,1,5490,Yes
F,Road,6,4,285,4,medium,F,10,1422,No
A,Ship,5,3,199,4,medium,F,8,5362,No
D,Ship,5,2,274,4,medium,F,7,4929,No
F,Ship,5,3,211,3,low,F,5,5087,No
F,Flight,4,3,182,3,high,F,3,5624,No
F,Road,6,2,246,4,medium,F,7,1297,Yes
A,Road,4,1,205,5,low,M,10,4944,No
B,Ship,3,2,196,6,low,M,6,5414,No
A,Ship,4,2,144,5,low,F,3,5807,Yes
A,Ship,5,1,211,3,low,M,7,5594,Yes
D,Flight,4,2,181,2,low,F,28,2815,Yes
B,Ship,3,5,212,4,low,F,9,5791,No
B,Ship,6,2,245,4,low,F,9,1594,No
F,Road,4,4,269,5,medium,F,2,1473,No
C,Road,5,1,105,5,low,M,1,1101,Yes
A,Ship,4,3,296,2,medium,F,9,1523,Yes
F,Road,5,4,165,2,high,M,46,1482,Yes
B,Flight,4,3,149,3,medium,M,17,1990,Yes
F,Ship,5,4,160,3,high,M,2,5876,No
D,Ship,3,1,203,4,medium,M,12,2779,Yes
A,Ship,2,2,190,8,medium,M,33,3448,Yes
C,Ship,3,2,258,2,low,M,1,5862,No
F,Ship,2,1,214,3,high,M,1,4391,No
A,Flight,5,2,146,3,low,F,7,4524,Yes
B,Ship,4,2,124,3,high,M,60,1107,Yes
F,Ship,7,5,253,4,low,M,10,1166,Yes
D,Ship,4,2,133,6,medium,F,9,4879,No
F,Ship,3,1,183,2,medium,F,10,4598,No
B,Ship,3,1,140,2,low,F,8,5253,Yes
C,Road,3,5,259,3,medium,M,7,4480,Yes
F,Ship,2,1,203,4,medium,F,4,4145,No
D,Ship,6,4,293,4,low,F,8,1145,Yes
B,Ship,4,2,225,3,low,M,52,3189,Yes
F,Flight,4,2,135,2,low,M,54,1011,Yes
A,Ship,6,5,268,4,medium,M,2,1462,No
B,Ship,6,4,283,5,medium,F,35,2686,Yes
A,Ship,5,5,271,2,medium,M,6,4788,Yes
F,Ship,4,1,267,3,medium,M,37,2716,Yes
B,Ship,4,2,264,5,medium,F,6,1736,Yes
C,Ship,4,4,186,3,low,F,8,4969,Yes
F,Ship,5,3,189,3,medium,F,7,5830,Yes
D,Road,5,5,207,2,high,M,8,5066,Yes
C,Road,7,2,264,4,medium,M,6,1688,No
C,Road,3,5,226,3,medium,M,5,3914,Yes
C,Ship,5,2,141,3,high,F,34,1020,Yes
F,Ship,6,3,244,4,low,F,5,1668,Yes
F,Flight,5,4,135,4,medium,M,4,4541,No
A,Ship,4,2,160,2,high,F,5,4343,No
A,Ship,3,1,206,3,high,F,8,4763,Yes
C,Road,3,4,142,4,medium,M,5,4429,No
C,Ship,4,4,227,5,low,M,8,1982,Yes
D,Ship,4,2,243,5,medium,F,8,1922,No
C,Flight,5,5,195,3,low,M,55,2641,Yes
A,Ship,4,4,142,4,medium,M,2,1461,Yes
C,Ship,3,4,256,3,low,M,7,5013,Yes
A,Flight,6,2,290,4,medium,F,9,1339,No
F,Ship,5,2,243,5,medium,F,4,1385,No
B,Ship,3,1,191,5,medium,M,2,4956,Yes
F,Ship,4,4,263,3,medium,M,10,4680,No
B,Road,3,3,160,2,medium,F,3,4665,No
D,Flight,5,1,196,3,medium,M,24,2957,Yes
A,Ship,4,4,251,4,low,F,1,4252,No
A,Ship,5,2,236,3,low,F,51,3402,Yes
B,Ship,4,1,275,10,medium,F,23,2726,Yes
F,Road,6,1,139,5,medium,M,1,4243,No
F,Road,3,5,151,2,medium,M,8,4408,Yes
F,Ship,4,2,170,6,medium,M,10,4891,No
C,Ship,6,3,247,6,medium,M,3,4582,No
F,Ship,3,4,138,3,low,F,54,1648,Yes
B,Ship,3,4,222,6,medium,F,10,4579,Yes
C,Flight,4,3,249,4,medium,M,10,4933,No
F,Flight,6,4,258,4,low,F,7,1726,Yes
D,Ship,2,5,209,5,medium,F,10,4623,Yes
B,Road,3,5,142,3,low,F,2,4619,No
D,Ship,3,5,159,3,medium,M,9,4555,No
C,Ship,6,2,304,5,medium,M,6,1178,Yes
B,Ship,4,5,243,3,low,M,9,5263,No
F,Road,4,1,226,5,low,M,9,1530,No
D,Ship,4,4,138,3,medium,F,7,1597,Yes
F,Ship,3,5,140,3,low,F,30,1035,Yes
F,Ship,3,5,270,2,medium,F,46,2716,Yes
F,Ship,5,5,239,3,low,M,5,4122,No
F,Ship,5,5,251,2,high,F,3,4741,Yes
B,Ship,4,3,244,3,low,M,7,4761,No
C,Ship,4,3,186,7,medium,F,30,2062,Yes
B,Ship,3,2,264,3,low,F,8,5831,No
B,Ship,6,5,282,4,low,M,1,1193,Yes
A,Road,2,5,273,2,high,M,5,4236,No
D,Ship,3,4,263,6,high,M,3,4429,No
D,Flight,6,2,161,4,low,M,10,1683,No
C,Road,5,2,249,3,low,M,2,4696,No
F,Ship,6,4,164,5,low,M,20,1555,Yes
A,Ship,4,5,261,3,high,F,2,4954,Yes
C,Ship,2,3,198,2,medium,F,6,1996,No
D,Ship,4,2,172,3,low,M,1,1182,Yes
F,Ship,4,5,237,2,medium,F,60,3427,Yes
D,Road,4,2,183,3,low,F,33,2741,Yes
F,Flight,3,1,174,3,medium,F,2,4972,No
D,Ship,3,5,110,3,low,M,55,1875,Yes
C,Ship,2,4,120,2,medium,M,13,1240,Yes
F,Ship,5,1,153,2,low,F,55,1414,Yes
C,Ship,3,3,149,2,medium,M,7,1145,Yes
C,Ship,6,3,304,4,low,F,9,1401,No
A,Ship,4,2,218,2,low,M,4,4299,Yes
D,Ship,4,5,238,10,medium,M,38,3556,Yes
B,Road,3,5,193,3,medium,M,1,5810,Yes
B,Ship,4,3,123,4,medium,M,6,4166,No
